"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"942","6","27",-0.0475172237111069,0.399527824096414,-0.328177831624205,-0.675749889439903,3,0.001551508,3.94e-08,263.220314,0.109,-0.347572057815698,0.447045047807521,7.46852791778878,18.0495000206425
"943","7","27",-0.0112932890674335,0.399527824096414,-0.179756798483868,-0.675749889439903,3,0.001551508,5.96e-07,246.7385463,0.115,-0.495993090956035,0.410821113163847,7.46852791778878,15.3330251698811
"944","8","27",-0.67565149954662,0.399527824096414,0.395102965777359,-0.675749889439903,3,0.00102764,3.94e-07,656.5802349,0.121,-1.07085285521726,1.07517932364303,7.88049036783412,15.7469149276485
"945","9","27",-0.67054960071222,0.399527824096414,0.370370996099423,-0.675749889439903,3,0.000711765,3.61e-07,652.5615699,0.088,-1.04612088553933,1.07007742480863,8.2477627572126,15.8343878786135
"946","10","27",-0.67632090835051,0.399527824096414,0.196760156022134,-0.675749889439903,5,5.74e-05,6.59e-11,653.0333847,0.115,-0.872510045462037,1.07584873244692,10.7654662546388,24.4428826744201
"947","11","27",-0.908300803911853,0.399527824096414,0.378304391267952,-0.675749889439903,4,0.000670814,3.07e-09,786.4520404,0.119,-1.05405428070785,1.30782862800827,8.30701865763074,20.6015882753473
"948","12","27",-0.663645544265017,0.399527824096414,0.153699181215904,-0.675749889439903,4,0.000165518,8.51e-11,644.6848365,0.171,-0.829449070655807,1.06317336836143,9.70643060773194,24.1871940803492
"949","13","27",-1.05667643651094,0.399527824096414,0.648627003716782,-0.675749889439903,4,0.000456588,2.71e-09,872.3934591,0.137,-1.32437689315669,1.45620426060735,8.69172910542287,20.7263172020548
"950","14","27",-0.69932449130601,0.399527824096414,0.427843271471202,-0.675749889439903,2,0.001611004,5.42e-06,671.1125422,0.121,-1.10359316091111,1.09885231540242,7.43089769186053,13.1254147425127
"951","15","27",-1.0569725817112,0.399527824096414,0.310638396572871,-0.675749889439903,NA,0,0,869.5296367,0.179,-0.986388286012774,1.45650040580762,Inf,Inf
"952","16","27",-0.688236787230712,0.399527824096414,0.208103671492821,-0.675749889439903,5,0.001151334,1.06e-11,660.6403396,0.185,-0.883853560932724,1.08776461132713,7.76683400888713,26.2701671148105
"953","17","27",0.107106014529326,0.399527824096414,-0.337620371502724,-0.675749889439903,3,0.000288385,1.54e-06,176.4398565,0.126,-0.338129517937179,0.292421809567088,9.1512141650018,14.3837281415387
