"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"111","X30.42","30","42",660.8649499,5,2.17e-12,2.33e-06
"112","X30.43","30","43",615.0759214,4,2.7e-08,0.000157401
"113","X29.17","29","17",26.41059634,2,3.05e-05,0.000423467
"114","X29.18","29","18",38.86710713,3,5.73e-06,0.000423467
"115","X29.19","29","19",270.7801915,4,6.47e-11,0.000491498
"116","X29.27","29","27",204.4710348,3,4e-07,0.000491688
"117","X29.31","29","31",460.2831847,5,1.97e-11,9.18e-05
"118","X29.32","29","32",365.849468,5,3.43e-11,0.000708998
"119","X29.33","29","33",661.6660726,6,1.84e-13,2.33e-06
"120","X29.34","29","34",671.9656296,5,3.07e-11,2.33e-06
"121","X29.35","29","35",658.9896449,6,1.84e-12,2.33e-06
"122","X29.36","29","36",681.0372527,6,1.54e-13,2.33e-06
"123","X29.37","29","37",661.1750217,6,9.63e-13,2.33e-06
"124","X29.38","29","38",660.557538,4,7.97e-12,2.33e-06
"125","X29.40","29","40",729.1105537,4,8.85e-11,1.18e-05
"126","X29.42","29","42",698.8873741,5,1.18e-12,2.33e-06
"127","X29.43","29","43",639.3154846,4,1.47e-08,0.000157401
"128","X23.19","23","19",266.467896,1,0.000110585,0.000820079
"129","X23.27","23","27",204.6573576,2,0.000448848,0.00160897
"130","X23.30","23","30",33.06228357,1,0.003596904,0.000784862
"131","X23.31","23","31",461.7852947,4,3.75e-10,9.18e-05
"132","X23.32","23","32",363.92725,2,5.69e-06,0.002237883
"133","X23.33","23","33",661.7770002,5,3.83e-13,2.33e-06
"134","X23.34","23","34",672.9759485,4,1.06e-10,2.33e-06
"135","X23.35","23","35",660.1674993,5,6.39e-12,2.33e-06
"136","X23.36","23","36",683.2377757,5,2.53e-10,2.33e-06
"137","X23.37","23","37",662.7614778,5,3.34e-12,2.33e-06
"138","X23.38","23","38",660.1219987,4,7.77e-12,2.33e-06
"139","X23.40","23","40",741.5130792,4,4.17e-11,1.18e-05
"140","X23.42","23","42",701.0947654,4,8.98e-12,2.33e-06
"141","X23.43","23","43",654.9027119,4,6.9e-09,0.000157401
"142","X28.17","28","17",50.9888352,1,0.039225,0.001366207
"143","X28.18","28","18",63.4365348,2,0.000550601,0.001095482
